날짜,대상가구수(호),가구당 평균 전력 사용량(kWh),가구당 평균 전기요금(원)
2022-01-01,369935,238,31091
2022-01-02,369935,238,31091
2022-01-03,369935,238,31091
2022-01-04,369935,238,31091
2022-01-05,369935,238,31091
2022-01-06,369935,238,31091
2022-01-07,369935,238,31091
2022-01-08,369935,238,31091
2022-01-09,369935,238,31091
2022-01-10,369935,238,31091
2022-01-11,369935,238,31091
2022-01-12,369935,238,31091
2022-01-13,369935,238,31091
2022-01-14,369935,238,31091
2022-01-15,369935,238,31091
2022-01-16,369935,238,31091
2022-01-17,369935,238,31091
2022-01-18,369935,238,31091
2022-01-19,369935,238,31091
2022-01-20,369935,238,31091
2022-01-21,369935,238,31091
2022-01-22,369935,238,31091
2022-01-23,369935,238,31091
2022-01-24,369935,238,31091
2022-01-25,369935,238,31091
2022-01-26,369935,238,31091
2022-01-27,369935,238,31091
2022-01-28,369935,238,31091
2022-01-29,369935,238,31091
2022-01-30,369935,238,31091
2022-01-31,369935,238,31091
2022-02-01,370643,240,31592
2022-02-02,370643,240,31592
2022-02-03,370643,240,31592
2022-02-04,370643,240,31592
2022-02-05,370643,240,31592
2022-02-06,370643,240,31592
2022-02-07,370643,240,31592
2022-02-08,370643,240,31592
2022-02-09,370643,240,31592
2022-02-10,370643,240,31592
2022-02-11,370643,240,31592
2022-02-12,370643,240,31592
2022-02-13,370643,240,31592
2022-02-14,370643,240,31592
2022-02-15,370643,240,31592
2022-02-16,370643,240,31592
2022-02-17,370643,240,31592
2022-02-18,370643,240,31592
2022-02-19,370643,240,31592
2022-02-20,370643,240,31592
2022-02-21,370643,240,31592
2022-02-22,370643,240,31592
2022-02-23,370643,240,31592
2022-02-24,370643,240,31592
2022-02-25,370643,240,31592
2022-02-26,370643,240,31592
2022-02-27,370643,240,31592
2022-02-28,370643,240,31592
2022-03-01,371150,210,25403
2022-03-02,371150,210,25403
2022-03-03,371150,210,25403
2022-03-04,371150,210,25403
2022-03-05,371150,210,25403
2022-03-06,371150,210,25403
2022-03-07,371150,210,25403
2022-03-08,371150,210,25403
2022-03-09,371150,210,25403
2022-03-10,371150,210,25403
2022-03-11,371150,210,25403
2022-03-12,371150,210,25403
2022-03-13,371150,210,25403
2022-03-14,371150,210,25403
2022-03-15,371150,210,25403
2022-03-16,371150,210,25403
2022-03-17,371150,210,25403
2022-03-18,371150,210,25403
2022-03-19,371150,210,25403
2022-03-20,371150,210,25403
2022-03-21,371150,210,25403
2022-03-22,371150,210,25403
2022-03-23,371150,210,25403
2022-03-24,371150,210,25403
2022-03-25,371150,210,25403
2022-03-26,371150,210,25403
2022-03-27,371150,210,25403
2022-03-28,371150,210,25403
2022-03-29,371150,210,25403
2022-03-30,371150,210,25403
2022-03-31,371150,210,25403
2022-04-01,371600,206,24494
2022-04-02,371600,206,24494
2022-04-03,371600,206,24494
2022-04-04,371600,206,24494
2022-04-05,371600,206,24494
2022-04-06,371600,206,24494
2022-04-07,371600,206,24494
2022-04-08,371600,206,24494
2022-04-09,371600,206,24494
2022-04-10,371600,206,24494
2022-04-11,371600,206,24494
2022-04-12,371600,206,24494
2022-04-13,371600,206,24494
2022-04-14,371600,206,24494
2022-04-15,371600,206,24494
2022-04-16,371600,206,24494
2022-04-17,371600,206,24494
2022-04-18,371600,206,24494
2022-04-19,371600,206,24494
2022-04-20,371600,206,24494
2022-04-21,371600,206,24494
2022-04-22,371600,206,24494
2022-04-23,371600,206,24494
2022-04-24,371600,206,24494
2022-04-25,371600,206,24494
2022-04-26,371600,206,24494
2022-04-27,371600,206,24494
2022-04-28,371600,206,24494
2022-04-29,371600,206,24494
2022-04-30,371600,206,24494
2022-05-01,372062,185,21332
2022-05-02,372062,185,21332
2022-05-03,372062,185,21332
2022-05-04,372062,185,21332
2022-05-05,372062,185,21332
2022-05-06,372062,185,21332
2022-05-07,372062,185,21332
2022-05-08,372062,185,21332
2022-05-09,372062,185,21332
2022-05-10,372062,185,21332
2022-05-11,372062,185,21332
2022-05-12,372062,185,21332
2022-05-13,372062,185,21332
2022-05-14,372062,185,21332
2022-05-15,372062,185,21332
2022-05-16,372062,185,21332
2022-05-17,372062,185,21332
2022-05-18,372062,185,21332
2022-05-19,372062,185,21332
2022-05-20,372062,185,21332
2022-05-21,372062,185,21332
2022-05-22,372062,185,21332
2022-05-23,372062,185,21332
2022-05-24,372062,185,21332
2022-05-25,372062,185,21332
2022-05-26,372062,185,21332
2022-05-27,372062,185,21332
2022-05-28,372062,185,21332
2022-05-29,372062,185,21332
2022-05-30,372062,185,21332
2022-05-31,372062,185,21332
2022-06-01,372395,191,22290
2022-06-02,372395,191,22290
2022-06-03,372395,191,22290
2022-06-04,372395,191,22290
2022-06-05,372395,191,22290
2022-06-06,372395,191,22290
2022-06-07,372395,191,22290
2022-06-08,372395,191,22290
2022-06-09,372395,191,22290
2022-06-10,372395,191,22290
2022-06-11,372395,191,22290
2022-06-12,372395,191,22290
2022-06-13,372395,191,22290
2022-06-14,372395,191,22290
2022-06-15,372395,191,22290
2022-06-16,372395,191,22290
2022-06-17,372395,191,22290
2022-06-18,372395,191,22290
2022-06-19,372395,191,22290
2022-06-20,372395,191,22290
2022-06-21,372395,191,22290
2022-06-22,372395,191,22290
2022-06-23,372395,191,22290
2022-06-24,372395,191,22290
2022-06-25,372395,191,22290
2022-06-26,372395,191,22290
2022-06-27,372395,191,22290
2022-06-28,372395,191,22290
2022-06-29,372395,191,22290
2022-06-30,372395,191,22290
2022-07-01,372672,266,34416
2022-07-02,372672,266,34416
2022-07-03,372672,266,34416
2022-07-04,372672,266,34416
2022-07-05,372672,266,34416
2022-07-06,372672,266,34416
2022-07-07,372672,266,34416
2022-07-08,372672,266,34416
2022-07-09,372672,266,34416
2022-07-10,372672,266,34416
2022-07-11,372672,266,34416
2022-07-12,372672,266,34416
2022-07-13,372672,266,34416
2022-07-14,372672,266,34416
2022-07-15,372672,266,34416
2022-07-16,372672,266,34416
2022-07-17,372672,266,34416
2022-07-18,372672,266,34416
2022-07-19,372672,266,34416
2022-07-20,372672,266,34416
2022-07-21,372672,266,34416
2022-07-22,372672,266,34416
2022-07-23,372672,266,34416
2022-07-24,372672,266,34416
2022-07-25,372672,266,34416
2022-07-26,372672,266,34416
2022-07-27,372672,266,34416
2022-07-28,372672,266,34416
2022-07-29,372672,266,34416
2022-07-30,372672,266,34416
2022-07-31,372672,266,34416
2022-08-01,373098,333,46213
2022-08-02,373098,333,46213
2022-08-03,373098,333,46213
2022-08-04,373098,333,46213
2022-08-05,373098,333,46213
2022-08-06,373098,333,46213
2022-08-07,373098,333,46213
2022-08-08,373098,333,46213
2022-08-09,373098,333,46213
2022-08-10,373098,333,46213
2022-08-11,373098,333,46213
2022-08-12,373098,333,46213
2022-08-13,373098,333,46213
2022-08-14,373098,333,46213
2022-08-15,373098,333,46213
2022-08-16,373098,333,46213
2022-08-17,373098,333,46213
2022-08-18,373098,333,46213
2022-08-19,373098,333,46213
2022-08-20,373098,333,46213
2022-08-21,373098,333,46213
2022-08-22,373098,333,46213
2022-08-23,373098,333,46213
2022-08-24,373098,333,46213
2022-08-25,373098,333,46213
2022-08-26,373098,333,46213
2022-08-27,373098,333,46213
2022-08-28,373098,333,46213
2022-08-29,373098,333,46213
2022-08-30,373098,333,46213
2022-08-31,373098,333,46213
2022-09-01,373285,273,35533
2022-09-02,373285,273,35533
2022-09-03,373285,273,35533
2022-09-04,373285,273,35533
2022-09-05,373285,273,35533
2022-09-06,373285,273,35533
2022-09-07,373285,273,35533
2022-09-08,373285,273,35533
2022-09-09,373285,273,35533
2022-09-10,373285,273,35533
2022-09-11,373285,273,35533
2022-09-12,373285,273,35533
2022-09-13,373285,273,35533
2022-09-14,373285,273,35533
2022-09-15,373285,273,35533
2022-09-16,373285,273,35533
2022-09-17,373285,273,35533
2022-09-18,373285,273,35533
2022-09-19,373285,273,35533
2022-09-20,373285,273,35533
2022-09-21,373285,273,35533
2022-09-22,373285,273,35533
2022-09-23,373285,273,35533
2022-09-24,373285,273,35533
2022-09-25,373285,273,35533
2022-09-26,373285,273,35533
2022-09-27,373285,273,35533
2022-09-28,373285,273,35533
2022-09-29,373285,273,35533
2022-09-30,373285,273,35533
2022-10-01,373637,196,23988
2022-10-02,373637,196,23988
2022-10-03,373637,196,23988
2022-10-04,373637,196,23988
2022-10-05,373637,196,23988
2022-10-06,373637,196,23988
2022-10-07,373637,196,23988
2022-10-08,373637,196,23988
2022-10-09,373637,196,23988
2022-10-10,373637,196,23988
2022-10-11,373637,196,23988
2022-10-12,373637,196,23988
2022-10-13,373637,196,23988
2022-10-14,373637,196,23988
2022-10-15,373637,196,23988
2022-10-16,373637,196,23988
2022-10-17,373637,196,23988
2022-10-18,373637,196,23988
2022-10-19,373637,196,23988
2022-10-20,373637,196,23988
2022-10-21,373637,196,23988
2022-10-22,373637,196,23988
2022-10-23,373637,196,23988
2022-10-24,373637,196,23988
2022-10-25,373637,196,23988
2022-10-26,373637,196,23988
2022-10-27,373637,196,23988
2022-10-28,373637,196,23988
2022-10-29,373637,196,23988
2022-10-30,373637,196,23988
2022-10-31,373637,196,23988
2022-11-01,374134,191,24070
2022-11-02,374134,191,24070
2022-11-03,374134,191,24070
2022-11-04,374134,191,24070
2022-11-05,374134,191,24070
2022-11-06,374134,191,24070
2022-11-07,374134,191,24070
2022-11-08,374134,191,24070
2022-11-09,374134,191,24070
2022-11-10,374134,191,24070
2022-11-11,374134,191,24070
2022-11-12,374134,191,24070
2022-11-13,374134,191,24070
2022-11-14,374134,191,24070
2022-11-15,374134,191,24070
2022-11-16,374134,191,24070
2022-11-17,374134,191,24070
2022-11-18,374134,191,24070
2022-11-19,374134,191,24070
2022-11-20,374134,191,24070
2022-11-21,374134,191,24070
2022-11-22,374134,191,24070
2022-11-23,374134,191,24070
2022-11-24,374134,191,24070
2022-11-25,374134,191,24070
2022-11-26,374134,191,24070
2022-11-27,374134,191,24070
2022-11-28,374134,191,24070
2022-11-29,374134,191,24070
2022-11-30,374134,191,24070
2022-12-01,374666,212,27350
2022-12-02,374666,212,27350
2022-12-03,374666,212,27350
2022-12-04,374666,212,27350
2022-12-05,374666,212,27350
2022-12-06,374666,212,27350
2022-12-07,374666,212,27350
2022-12-08,374666,212,27350
2022-12-09,374666,212,27350
2022-12-10,374666,212,27350
2022-12-11,374666,212,27350
2022-12-12,374666,212,27350
2022-12-13,374666,212,27350
2022-12-14,374666,212,27350
2022-12-15,374666,212,27350
2022-12-16,374666,212,27350
2022-12-17,374666,212,27350
2022-12-18,374666,212,27350
2022-12-19,374666,212,27350
2022-12-20,374666,212,27350
2022-12-21,374666,212,27350
2022-12-22,374666,212,27350
2022-12-23,374666,212,27350
2022-12-24,374666,212,27350
2022-12-25,374666,212,27350
2022-12-26,374666,212,27350
2022-12-27,374666,212,27350
2022-12-28,374666,212,27350
2022-12-29,374666,212,27350
2022-12-30,374666,212,27350
2022-12-31,374666,212,27350
2023-01-01,375261,242,35693
2023-01-02,375261,242,35693
2023-01-03,375261,242,35693
2023-01-04,375261,242,35693
2023-01-05,375261,242,35693
2023-01-06,375261,242,35693
2023-01-07,375261,242,35693
2023-01-08,375261,242,35693
2023-01-09,375261,242,35693
2023-01-10,375261,242,35693
2023-01-11,375261,242,35693
2023-01-12,375261,242,35693
2023-01-13,375261,242,35693
2023-01-14,375261,242,35693
2023-01-15,375261,242,35693
2023-01-16,375261,242,35693
2023-01-17,375261,242,35693
2023-01-18,375261,242,35693
2023-01-19,375261,242,35693
2023-01-20,375261,242,35693
2023-01-21,375261,242,35693
2023-01-22,375261,242,35693
2023-01-23,375261,242,35693
2023-01-24,375261,242,35693
2023-01-25,375261,242,35693
2023-01-26,375261,242,35693
2023-01-27,375261,242,35693
2023-01-28,375261,242,35693
2023-01-29,375261,242,35693
2023-01-30,375261,242,35693
2023-01-31,375261,242,35693
2023-02-01,376160,237,36217
2023-02-02,376160,237,36217
2023-02-03,376160,237,36217
2023-02-04,376160,237,36217
2023-02-05,376160,237,36217
2023-02-06,376160,237,36217
2023-02-07,376160,237,36217
2023-02-08,376160,237,36217
2023-02-09,376160,237,36217
2023-02-10,376160,237,36217
2023-02-11,376160,237,36217
2023-02-12,376160,237,36217
2023-02-13,376160,237,36217
2023-02-14,376160,237,36217
2023-02-15,376160,237,36217
2023-02-16,376160,237,36217
2023-02-17,376160,237,36217
2023-02-18,376160,237,36217
2023-02-19,376160,237,36217
2023-02-20,376160,237,36217
2023-02-21,376160,237,36217
2023-02-22,376160,237,36217
2023-02-23,376160,237,36217
2023-02-24,376160,237,36217
2023-02-25,376160,237,36217
2023-02-26,376160,237,36217
2023-02-27,376160,237,36217
2023-02-28,376160,237,36217
2023-03-01,376510,198,28099
2023-03-02,376510,198,28099
2023-03-03,376510,198,28099
2023-03-04,376510,198,28099
2023-03-05,376510,198,28099
2023-03-06,376510,198,28099
2023-03-07,376510,198,28099
2023-03-08,376510,198,28099
2023-03-09,376510,198,28099
2023-03-10,376510,198,28099
2023-03-11,376510,198,28099
2023-03-12,376510,198,28099
2023-03-13,376510,198,28099
2023-03-14,376510,198,28099
2023-03-15,376510,198,28099
2023-03-16,376510,198,28099
2023-03-17,376510,198,28099
2023-03-18,376510,198,28099
2023-03-19,376510,198,28099
2023-03-20,376510,198,28099
2023-03-21,376510,198,28099
2023-03-22,376510,198,28099
2023-03-23,376510,198,28099
2023-03-24,376510,198,28099
2023-03-25,376510,198,28099
2023-03-26,376510,198,28099
2023-03-27,376510,198,28099
2023-03-28,376510,198,28099
2023-03-29,376510,198,28099
2023-03-30,376510,198,28099
2023-03-31,376510,198,28099
2023-04-01,376878,199,28538
2023-04-02,376878,199,28538
2023-04-03,376878,199,28538
2023-04-04,376878,199,28538
2023-04-05,376878,199,28538
2023-04-06,376878,199,28538
2023-04-07,376878,199,28538
2023-04-08,376878,199,28538
2023-04-09,376878,199,28538
2023-04-10,376878,199,28538
2023-04-11,376878,199,28538
2023-04-12,376878,199,28538
2023-04-13,376878,199,28538
2023-04-14,376878,199,28538
2023-04-15,376878,199,28538
2023-04-16,376878,199,28538
2023-04-17,376878,199,28538
2023-04-18,376878,199,28538
2023-04-19,376878,199,28538
2023-04-20,376878,199,28538
2023-04-21,376878,199,28538
2023-04-22,376878,199,28538
2023-04-23,376878,199,28538
2023-04-24,376878,199,28538
