top_word,count,label,negative,positive,neutral
전국,17,neutral,0.1,7.16,92.74
신문,4,neutral,0.02,0.02,99.96
신문,4,neutral,0.02,0.02,99.96
신문,4,neutral,0.02,0.02,99.96
사고,1,negative,0.04,99.88,0.08
제주,143,neutral,0.14,0.04,99.81
제주,143,neutral,0.27,18.07,81.66
부상,1,negative,0.04,99.96,0.01
요구,2,neutral,0.13,0.14,99.73
무죄,1,positive,0.03,85.06,14.91
결과,1,neutral,0.22,0.02,99.76
제주도,63,neutral,0.34,0.03,99.63
제주도,63,neutral,0.15,0.98,98.87
도시,10,neutral,0.15,2.88,96.97
완성,1,neutral,1.2,6.28,92.52
과잉,1,negative,99.66,0.01,0.33
보수,1,negative,99.98,0.01,0.01
신입,1,neutral,4.6,0.26,95.14
총력,2,neutral,0.5,26.13,73.37
견학,1,neutral,0.04,0.02,99.94
이유,7,neutral,0.01,0.01,99.97
소통,1,positive,0.01,99.96,0.03
국비,2,neutral,0.05,0.07,99.88
순환,1,positive,0.03,94.59,5.38
관광지,1,neutral,0.08,1.47,98.45
과제,2,neutral,0.13,0.04,99.83
중립,16,neutral,0.04,0.16,99.8
선포,1,neutral,0.08,0.22,99.69
개막,3,neutral,0.02,0.04,99.94
친환경,7,neutral,0.03,0.08,99.89
덴마크,5,neutral,0.03,0.04,99.92
발전,13,neutral,0.07,0.11,99.82
기록,2,neutral,0.1,0.12,99.78
다행,1,positive,49.9,49.94,0.16
르포,8,neutral,0.03,0.22,99.74
변모,1,neutral,0.03,0.11,99.86
인사,2,neutral,0.03,0.02,99.95
한국,11,neutral,0.04,0.08,99.88
녹색,8,neutral,0.03,0.15,99.82
컨퍼런스,1,neutral,0.04,0.2,99.77
서나,1,neutral,0.02,0.08,99.9
운행,3,neutral,0.03,0.05,99.92
강화,10,neutral,0.15,0.79,99.06
현장,6,neutral,0.02,0.04,99.93
배관,4,neutral,0.03,0.02,99.95
거주,1,positive,0.54,94.93,4.53
거래,4,neutral,0.02,0.04,99.94
금제,1,neutral,0.1,0.07,99.83
내년,5,neutral,0.06,0.55,99.39
최적,1,neutral,0.22,1.71,98.07
우주,4,neutral,0.05,0.05,99.9
차별,2,neutral,0.16,3.21,96.63
국회의원,1,negative,99.96,0.01,0.03
직류,4,neutral,0.08,1.03,98.89
기술자,1,positive,0.03,99.41,0.56
악취,1,negative,99.96,0.01,0.03
바이오,4,neutral,0.13,0.41,99.46
양성,4,neutral,0.1,5.02,94.88
의미,4,neutral,0.03,0.05,99.92
가속,1,positive,0.01,99.96,0.02
대표,3,neutral,0.07,0.04,99.89
아랍권,1,neutral,0.06,0.56,99.38
조사,1,neutral,0.08,0.63,99.29
위해,6,neutral,0.08,0.76,99.16
기여,1,positive,0.02,99.93,0.06
보호,5,neutral,0.23,3.21,96.57
방문,1,neutral,0.07,0.02,99.9
연료비,1,positive,0.04,99.89,0.07
레이스,2,neutral,0.02,0.09,99.89
전달,1,positive,0.03,85.6,14.38
선거구,2,neutral,0.15,0.02,99.83
공항,3,neutral,0.1,0.05,99.85
해법,2,neutral,0.03,0.05,99.92
바람,9,neutral,0.05,0.03,99.91
당한,1,neutral,0.31,0.02,99.67
재생에너지,9,neutral,0.08,6.77,93.15
이자,1,positive,0.02,99.87,0.11
우려,1,negative,99.98,0.01,0.01
민주,3,neutral,0.06,0.05,99.89
기구,1,neutral,0.04,0.02,99.94
참가,2,neutral,0.03,0.04,99.93
현대,5,neutral,0.03,0.02,99.94
글로비스,6,neutral,0.05,0.06,99.89
약속,2,neutral,0.04,0.08,99.88
갈등,1,negative,99.97,0.01,0.02
계획,7,neutral,0.07,0.17,99.75
아래,1,neutral,0.02,0.53,99.45
안정화,1,positive,0.02,99.8,0.18
관리,4,neutral,0.04,0.06,99.9
난리,1,negative,99.96,0.01,0.03
노트북,1,neutral,0.17,0.06,99.77
일자리,1,positive,0.03,83.81,16.16
성공,1,positive,0.02,99.96,0.02
해발,1,neutral,0.13,0.31,99.57
중동,1,positive,0.02,99.94,0.03
박차,1,neutral,0.05,0.43,99.52
선발,1,neutral,0.04,0.02,99.94
버려진,1,negative,85.62,0.01,14.37
기용,1,positive,99.88,0,0.11
단층,1,neutral,0.26,0.04,99.7
달라,2,neutral,0.13,0.39,99.48
기적,1,positive,0.03,99.95,0.02
비용,1,positive,0.03,99.74,0.22
제어,3,neutral,0.13,0.04,99.84
기온,1,neutral,0.32,3.51,96.17
공직자,1,neutral,0.07,5.21,94.72
계열,1,neutral,0.13,0.07,99.81
건립,1,positive,99.86,0,0.14
원년,1,positive,0.03,85.63,14.34
당선,2,neutral,0.05,0.06,99.89
다짐,1,neutral,0.05,0.06,99.89
평균,1,positive,99.23,0.33,0.44
인조,1,negative,99.8,0.01,0.19
동시,1,positive,99.98,0.01,0.01
목소리,2,neutral,0.06,0.05,99.88
일정,1,neutral,0.02,0.02,99.96
발굴,1,neutral,0.02,0.27,99.72
년도,1,neutral,0.02,0.05,99.93
부산,4,neutral,0.05,0.07,99.88
경계,1,neutral,1.54,0.14,98.32
기대,2,positive,0.02,99.97,0.01
레이스,2,positive,0.01,85.71,14.28
기재부,2,neutral,0.05,0.41,99.53
기회,3,neutral,0.12,0.14,99.74
폐업,2,negative,99.97,0.01,0.03
기관,1,neutral,0.11,0.1,99.78
하루,2,positive,0.03,82.54,17.44
공정,1,neutral,0.29,0.23,99.48
리더,2,positive,0.01,99.88,0.11
갤러리,1,neutral,0.03,0.06,99.92
자유통일,2,positive,99.98,0.01,0.01
과일,1,neutral,0.13,2.81,97.06
대신,2,neutral,0.05,0.13,99.81
보금자리,1,neutral,0.02,0.11,99.87
개선,2,positive,0.01,99.97,0.02
행사,2,positive,0.01,99.82,0.17
프로젝트,1,neutral,0.02,0.04,99.94
커플,1,neutral,0.3,0.05,99.65
건강,2,positive,0.01,99.98,0.02
생각,1,neutral,0.05,0.05,99.89
활발,2,positive,0.02,99.86,0.12
레이더,5,neutral,0.06,0.22,99.72
대진표,1,neutral,0.07,0.07,99.87
나은,2,neutral,0.13,9.26,90.61
단신,1,neutral,0.04,0.04,99.93
예비,2,positive,0.01,85.69,14.3
최선,1,neutral,0.15,38.21,61.64
총리,2,neutral,0.12,4.64,95.24
건의,1,neutral,0.1,0.06,99.84
발표,3,neutral,0.05,0.14,99.81
대회,2,positive,0.04,99.95,0.01
햇빛,2,positive,85.69,0.01,14.31
주목,1,neutral,0.15,2.09,97.76
어획,2,positive,0.02,99.96,0.01
달성,3,neutral,0.09,0.44,99.47
시나리오,2,neutral,0.07,0.04,99.88
본부장,1,neutral,0.05,0.03,99.92
인터뷰,5,neutral,0.17,0.02,99.82
채용,1,neutral,0.08,4.21,95.71
하이난성,3,neutral,0.1,2.7,97.2
하이난성,3,neutral,0.05,0.03,99.93
발족,1,neutral,0.08,0.02,99.9
동남아시아,1,neutral,0.06,0.08,99.86
특혜,2,positive,99.98,0.01,0.01
번영,2,positive,0.02,99.87,0.11
예비,2,neutral,0.21,2.49,97.3
도민,3,neutral,0.32,14.43,85.25
가격,2,positive,0.01,99.95,0.04
직접,4,neutral,0.06,0.06,99.88
공감,2,positive,85.58,0.02,14.41
경남,1,neutral,0.04,1.02,98.94
시엠립,1,neutral,0.06,0.39,99.55
나눔,2,positive,0.02,99.86,0.12
아시아,3,neutral,0.07,0.09,99.84
트램,2,neutral,0.09,0.39,99.52
기지,1,neutral,0.14,2.14,97.72
걸음,1,neutral,0.05,0.48,99.47
균형발전,2,positive,0.02,99.78,0.19
전문가,2,positive,85.69,0.02,14.28
속도,3,neutral,0.02,0.1,99.88
속도,3,neutral,0.02,0.15,99.82
굳이,1,neutral,0.21,0.06,99.73
광주,3,positive,0.02,84.93,15.05
가스,3,positive,0.04,99.87,0.09
광철,1,neutral,35.99,0.09,63.92
배전,3,positive,0.05,85.84,14.11
레저,2,neutral,0.04,0.16,99.8
사활,1,neutral,0.06,0.11,99.83
대통령,2,neutral,0.1,0.02,99.88
안간힘,1,neutral,5.67,0.21,94.13
체계,3,positive,0.05,78.98,20.97
기념,1,neutral,0.07,0.03,99.9
명품,1,neutral,0.36,1.51,98.14
어나더,3,positive,0.03,99.89,0.09
사무실,1,neutral,0.15,0.02,99.83
공약,3,positive,99.98,0.01,0.01
가치,3,positive,0.02,99.93,0.04
소멸,3,negative,99.97,0.01,0.02
논의,7,neutral,0.05,0.06,99.89
아시아,3,positive,76.37,4.93,18.7
회관,3,positive,0.02,85.69,14.29
개설,3,positive,0.05,99.51,0.45
나무,4,positive,99.97,0.01,0.02
정치,5,negative,74.98,0.01,25.01
기후,5,positive,46.16,43.22,10.62
활짝,1,neutral,0.11,0.58,99.3
논란,5,negative,99.98,0.01,0.01
사회,3,neutral,0.09,0.09,99.82
나우,1,neutral,0.24,2.41,97.35
조달,3,neutral,0.03,0.05,99.91
중산,6,negative,85.7,0.03,14.28
상임,2,neutral,0.06,0.03,99.91
상임,2,neutral,0.06,0.03,99.91
