top_word,count,label,confidence
전국,17,neutral,"{'negative': 0.10351046, 'positive': 7.1608624, 'neutral': 92.73563}"
신문,4,neutral,"{'negative': 0.019764842, 'positive': 0.018615045, 'neutral': 99.96162}"
신문,4,neutral,"{'negative': 0.019297926, 'positive': 0.018831592, 'neutral': 99.96187}"
신문,4,neutral,"{'negative': 0.019655075, 'positive': 0.018880121, 'neutral': 99.961464}"
제주,143,positive,"{'negative': 0.018455245, 'positive': 99.93152, 'neutral': 0.050024834}"
제주,143,neutral,"{'negative': 0.14137526, 'positive': 0.044892438, 'neutral': 99.813736}"
제주,143,neutral,"{'negative': 0.26575443, 'positive': 18.07486, 'neutral': 81.659386}"
광주,3,positive,"{'negative': 0.024776312, 'positive': 84.92517, 'neutral': 15.050056}"
요구,2,neutral,"{'negative': 0.12634115, 'positive': 0.14289905, 'neutral': 99.73076}"
미국,1,negative,"{'negative': 74.96424, 'positive': 0.025858501, 'neutral': 25.009897}"
결과,1,neutral,"{'negative': 0.2208651, 'positive': 0.0229545, 'neutral': 99.75618}"
제주도,63,neutral,"{'negative': 0.33815134, 'positive': 0.027033279, 'neutral': 99.63482}"
제주도,63,neutral,"{'negative': 0.14813888, 'positive': 0.9813478, 'neutral': 98.870514}"
도시,10,neutral,"{'negative': 0.14545597, 'positive': 2.8823571, 'neutral': 96.97218}"
완성,1,neutral,"{'negative': 1.2039825, 'positive': 6.2794003, 'neutral': 92.51662}"
대비,2,positive,"{'negative': 0.023143128, 'positive': 99.91707, 'neutral': 0.059786174}"
기대,2,positive,"{'negative': 0.018307995, 'positive': 99.96983, 'neutral': 0.011858565}"
신입,1,neutral,"{'negative': 4.600722, 'positive': 0.25570792, 'neutral': 95.14357}"
총력,2,neutral,"{'negative': 0.50215393, 'positive': 26.132124, 'neutral': 73.36572}"
견학,1,neutral,"{'negative': 0.036569018, 'positive': 0.01989226, 'neutral': 99.94354}"
이유,7,neutral,"{'negative': 0.011090345, 'positive': 0.013981577, 'neutral': 99.97493}"
이유,7,negative,"{'negative': 99.95547, 'positive': 0.011956604, 'neutral': 0.03257981}"
국비,2,neutral,"{'negative': 0.04661774, 'positive': 0.072334744, 'neutral': 99.88105}"
풍력,25,positive,"{'negative': 0.024717808, 'positive': 74.972946, 'neutral': 25.002337}"
관광지,1,neutral,"{'negative': 0.07992584, 'positive': 1.4674015, 'neutral': 98.452675}"
과제,2,neutral,"{'negative': 0.1255932, 'positive': 0.04402085, 'neutral': 99.83038}"
중립,16,neutral,"{'negative': 0.04432936, 'positive': 0.15670682, 'neutral': 99.798965}"
선포,1,neutral,"{'negative': 0.084222265, 'positive': 0.2249924, 'neutral': 99.69079}"
개막,3,neutral,"{'negative': 0.022797266, 'positive': 0.039549537, 'neutral': 99.93765}"
친환경,7,neutral,"{'negative': 0.031320486, 'positive': 0.07730501, 'neutral': 99.89137}"
덴마크,5,neutral,"{'negative': 0.033260006, 'positive': 0.042526, 'neutral': 99.92422}"
발전,13,neutral,"{'negative': 0.07445177, 'positive': 0.10760815, 'neutral': 99.81794}"
기록,2,neutral,"{'negative': 0.1031604, 'positive': 0.12090626, 'neutral': 99.77593}"
권한,1,negative,"{'negative': 99.97756, 'positive': 0.0053728065, 'neutral': 0.017065782}"
르포,8,neutral,"{'negative': 0.033190843, 'positive': 0.2241292, 'neutral': 99.74268}"
변모,1,neutral,"{'negative': 0.029827364, 'positive': 0.11091326, 'neutral': 99.85926}"
인사,2,neutral,"{'negative': 0.03190933, 'positive': 0.020718303, 'neutral': 99.94737}"
한국,11,neutral,"{'negative': 0.039956424, 'positive': 0.0751236, 'neutral': 99.88492}"
녹색,8,neutral,"{'negative': 0.03361522, 'positive': 0.14877148, 'neutral': 99.81761}"
컨퍼런스,1,neutral,"{'negative': 0.0380469, 'positive': 0.1962296, 'neutral': 99.765724}"
서나,1,neutral,"{'negative': 0.017943589, 'positive': 0.07825875, 'neutral': 99.9038}"
운행,3,neutral,"{'negative': 0.029291699, 'positive': 0.047181692, 'neutral': 99.92352}"
강화,10,neutral,"{'negative': 0.15174864, 'positive': 0.78693014, 'neutral': 99.06132}"
현장,6,neutral,"{'negative': 0.02256225, 'positive': 0.043009814, 'neutral': 99.934425}"
배관,4,neutral,"{'negative': 0.028990949, 'positive': 0.022978192, 'neutral': 99.94803}"
가스,3,positive,"{'negative': 0.043749597, 'positive': 99.86756, 'neutral': 0.08869261}"
거래,4,neutral,"{'negative': 0.019307313, 'positive': 0.041693777, 'neutral': 99.938995}"
금제,1,neutral,"{'negative': 0.096856825, 'positive': 0.0729897, 'neutral': 99.830154}"
내년,5,neutral,"{'negative': 0.057279892, 'positive': 0.5522469, 'neutral': 99.39047}"
최적,1,neutral,"{'negative': 0.21889932, 'positive': 1.7089894, 'neutral': 98.07211}"
우주,4,neutral,"{'negative': 0.04725998, 'positive': 0.04994101, 'neutral': 99.9028}"
