일시,교래태양광,종합경기장 태양광,행원태양광,홍보관주차장 태양광,수산태양광,태양광전체
2022-01-01,2014.6,1705.888,1132.704,288.08,0,5141.272
2022-01-02,1116,577.984,428.832,115.96,0,2238.776
2022-01-03,1780.6,1386.752,1107,257.96,0,4532.312
2022-01-04,371,377.504,352.224,109.48,0,1210.208
2022-01-05,195.6,181.6,26.136,0.32,0,403.656
2022-01-06,2089,1576.256,1258.056,328.32,0,5251.632
2022-01-07,1974.2,1718.976,1144.944,296.4,0,5134.52
2022-01-08,1979.2,309.184,597.816,163.16,0,3049.36
2022-01-09,628.2,192.224,202.032,78.12,0,1100.576
2022-01-10,1202.6,683.424,939.888,215.92,0,3041.832
2022-01-11,140.4,406.784,336.744,88.08,0,972.008
2022-01-12,13.6,441.6,334.8,95.6,0,885.6
2022-01-13,284,280.928,248.832,47.6,0,861.36
2022-01-14,1523.6,1077.888,971.064,241.44,0,3813.992
2022-01-15,1294.4,1193.664,805.68,205.76,0,3499.504
2022-01-16,739.8,562.24,418.824,119.72,0,1840.584
2022-01-17,760.8,461.92,206.28,75.44,0,1504.44
2022-01-18,2270.2,1658.944,1219.968,322.2,0,5471.312
2022-01-19,2219.8,1864.48,1233.36,333.96,0,5651.6
2022-01-20,2362,933.76,1159.416,279.12,0,4734.296
2022-01-21,986.8,1138.176,521.136,147.04,0,2793.152
2022-01-22,689.2,1073.92,550.656,128.2,0,2441.976
2022-01-23,314.2,408.928,229.824,58.72,0,1011.672
2022-01-24,363.4,763.296,197.928,66.56,0,1391.184
2022-01-25,206,120.128,49.464,0.6,0,376.192
2022-01-26,1189.6,618.048,808.056,204.48,0,2820.184
2022-01-27,975,486.496,699.552,201.64,0,2362.688
2022-01-28,2062.8,952,796.824,213.6,0,4025.224
2022-01-29,1132.4,778.88,750.744,212.48,0,2874.504
2022-01-30,2149.4,1571.872,1311.624,357.76,0,5390.656
2022-01-31,2438,1504.32,1248.624,313.32,0,5504.264
2022-02-01,849.8,808.512,466.056,147.76,0,2272.128
2022-02-02,1286,779.648,659.376,193.68,0,2918.704
2022-02-03,1832.8,1130.912,918.72,248.44,0,4130.872
2022-02-04,1354.8,679.296,656.424,189.84,0,2880.36
2022-02-05,980.4,1001.088,299.016,59.32,0,2339.824
2022-02-06,1763.6,1260.704,915.912,243.88,0,4184.096
2022-02-07,1154.8,856.8,578.16,182.28,0,2772.04
2022-02-08,2441.2,1960.928,1388.52,376.52,0,6167.168
2022-02-09,1199,870.912,355.824,116.12,0,2541.856
2022-02-10,2367.8,1914.368,1224.792,302.84,0,5809.8
2022-02-11,2572,2102.816,1425.528,384.64,0,6484.984
2022-02-12,806.6,771.872,536.76,163,0,2278.232
2022-02-13,374.8,380.768,460.08,130.28,0,1345.928
2022-02-14,856.4,932.192,706.536,183.92,0,2679.048
2022-02-15,1970.8,1193.792,645.408,230.2,0,4040.2
2022-02-16,1128,781.504,708.624,169.12,0,2787.248
2022-02-17,1090.6,906.528,820.008,213.44,0,3030.576
2022-02-18,673.2,1124.512,445.464,118.12,0,2361.296
2022-02-19,829,307.904,363.96,80.48,0,1581.344
2022-02-20,1554,1086.048,891.288,211.52,0,3742.856
2022-02-21,1741.2,1191.104,1044.216,262.48,0,4239
2022-02-22,1405.4,1519.936,1113.768,287.64,0,4326.744
2022-02-23,1563.2,738.24,878.256,218.28,0,3397.976
2022-02-24,1871.8,515.2,926.928,234.96,0,3548.888
2022-02-25,2967.4,2414.56,1794.816,461.76,0,7638.536
2022-02-26,2760,2405.28,1615.752,403.4,0,7184.432
2022-02-27,3051.2,2515.904,1862.856,482.48,0,7912.44
2022-02-28,1000,918.24,614.448,173.44,0,2706.128
2022-03-01,730.4,591.776,428.4,67.32,0,1817.896
2022-03-02,3134.6,1791.872,1644.696,408.28,0,6979.448
2022-03-03,2621.4,2197.664,1575.792,414.52,0,6809.376
2022-03-04,1938.4,1633.792,1027.224,239.36,0,4838.776
2022-03-05,2960,2366.528,1708.56,448,0,7483.088
2022-03-06,3149.2,2466.56,1829.808,492.64,0,7938.208
2022-03-07,2404.8,2057.408,1513.728,379.96,0,6355.896
2022-03-08,2907.6,2399.296,1728.432,452.28,0,7487.608
2022-03-09,2873.6,2322.848,1669.176,420.48,0,7286.104
2022-03-10,2869.4,2402.24,1662.12,427.16,0,7360.92
2022-03-11,1822.4,1142.944,934.848,245.96,0,4146.152
2022-03-12,2822.2,2289.504,1599.192,383.72,0,7094.616
2022-03-13,589.2,454.976,197.208,15.6,0,1256.984
2022-03-14,985.2,701.408,501.408,0,0,2188.016
2022-03-15,2995.4,2573.6,1814.832,0,0,7383.832
2022-03-16,2767,2319.936,1622.232,0,0,6709.168
2022-03-17,401,465.6,203.328,0,0,1069.928
2022-03-18,341.2,245.408,120.6,0,0,707.208
2022-03-19,827.8,467.52,502.992,0,0,1798.312
2022-03-20,1296,641.056,777.96,0,0,2715.016
2022-03-21,946.6,893.088,653.256,0,0,2492.944
2022-03-22,2339.4,1961.824,1377.288,0,0,5678.512
2022-03-23,1108,1207.488,899.352,22.84,0,3237.68
2022-03-24,2768.8,2486.272,1700.856,471.72,0,7427.648
2022-03-25,588.8,848,374.256,129.12,0,1940.176
2022-03-26,722,273.152,395.064,112.48,0,1502.696
2022-03-27,2994,2457.184,1763.424,485.56,0,7700.168
2022-03-28,1569,1730.592,740.592,230.08,0,4270.264
2022-03-29,3084.6,2672.768,1781.496,499.88,0,8038.744
2022-03-30,1224,1479.328,948.24,265.28,0,3916.848
2022-03-31,1393,913.376,603.864,198.76,0,3109
2022-04-01,2043.2,2226.4,1287.504,444.76,0,6001.864
2022-04-02,3147.8,2594.624,1335.816,510.92,0,7589.16
2022-04-03,3265,2745.664,1139.04,546.68,0,7696.384
2022-04-04,3032.4,2668.288,1123.128,505.36,0,7329.176
2022-04-05,2173.4,1987.488,880.848,414.56,0,5456.296
2022-04-06,3027.8,2575.552,1132.488,517,0,7252.84
2022-04-07,2968.4,2344.352,1058.04,479.72,0,6850.512
2022-04-08,3025.6,2653.248,1114.128,498.32,0,7291.296
2022-04-09,2949.6,2628,1109.52,510.96,0,7198.08
2022-04-10,2475.2,2104.032,856.368,377.08,0,5812.68
2022-04-11,1835,2490.72,920.52,394.04,0,5640.28
2022-04-12,2790.8,2496.896,1036.152,488.24,0,6812.088
2022-04-13,1018.2,1784.736,514.296,264.48,0,3581.712
2022-04-14,179.6,271.744,113.616,83.28,0,648.24
2022-04-15,2048,1831.808,740.592,321.08,0,4941.48
